CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0152,0.9944636211086014,C0174,0.9493291700663598,C0064,0.9483826840972989
C0002,C0159,0.9717384271852126,C0133,0.954762279938036,C0134,0.9386647043153137
C0003,C0158,0.9530493005073598,C0026,0.9164377763722263,C0129,0.9155674752873484
C0004,C0012,0.9871580031033942,C0065,0.941367522244549,C0075,0.9333847016878687
C0005,C0140,0.9739126719430773,C0199,0.9699248670407977,C0095,0.9505808629316639
C0006,C0187,0.9621599474211047,C0135,0.9464956798178018,C0185,0.8992457048946907
C0007,C0095,0.9098714490601107,C0140,0.8992638331533641,C0005,0.8469285411036643
C0008,C0147,0.9641251728999966,C0109,0.9639568932927338,C0017,0.9629824832756435
C0009,C0198,0.9840281006911247,C0032,0.882697238569607,C0094,0.8616756982842129
C0010,C0132,0.9671813125873701,C0077,0.9614273014349638,C0083,0.9613379084612574
C0011,C0056,0.9889565573845533,C0183,0.9572424794640799,C0016,0.9500314865887847
C0012,C0004,0.9871580031033942,C0051,0.921075776182779,C0143,0.9192125989153425
C0013,C0155,0.9905278319531707,C0099,0.9628468534753224,C0087,0.9561687188611201
C0014,C0110,0.9964791603792574,C0080,0.9951973828619848,C0097,0.9892993771953512
C0015,C0071,0.9669160524854759,C0123,0.9456000100063076,C0063,0.904813480863231
C0016,C0183,0.9997023109017262,C0107,0.9857645860715624,C0011,0.9500314865887847
C0017,C0113,0.9996914642379172,C0162,0.9967061474843967,C0145,0.9804951175149764
C0018,C0148,0.9031260147610952,C0182,0.8843949137361987,C0117,0.8624581370542278
C0019,C0191,0.8831615102623906,C0172,0.8591535089670045,C0157,0.820826853038001
C0020,C0130,0.9609302211991441,C0110,0.9515701270622143,C0014,0.9502113924278988
